page,bbox_x0,bbox_top,bbox_x1,bbox_bottom,tentang,tipe_regional,kelas_rs,tipe_rs,rawat_jalan,13 NO,YY-01-II KODE SPESIAL,Hip Replacement/Knee Replacement DESKRIPSI SPESIAL CMG,KODE INA- CBG,KELAS RAWAT,A PEMERINTAH,B PEMERINTAH,C PEMERINTAH,D PEMERINTAH
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,I-1-06-III,1,5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3.870.000,33.599.700,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3.870.000,33.599.700,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 3.870.000,33.599.700,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,18,YY-06-III,Stereotactic Surgery & Radiotheraphy,C-4-12-I,1,4.090.100,2 .862.300,2 .189.300,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.090.100,2 .862.300,2 .189.300,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.090.100,2 .862.300,2 .189.300,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,C-4-12-II,1,4.090.100,2 .862.300,2 .189.300,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.090.100,2 .862.300,2 .189.300,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.090.100,2 .862.300,2 .189.300,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,C-4-12-III,1,4.090.100,2 .862.300,2 .189.300,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,4.090.100,2 .862.300,2 .189.300,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,4.090.100,2 .862.300,2 .189.300,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,19,YY-07-III,Torakotomi,J-1-30-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.142.700,7 .097.900,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.142.700,7 .097.900,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.142.700,7 .097.900,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,J-1-30-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.142.700,7 .097.900,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.142.700,7 .097.900,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.142.700,7 .097.900,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,J-1-30-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.142.700,7 .097.900,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.142.700,7 .097.900,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.142.700,7 .097.900,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,20,YY-08-III,Lobektomi/Bilobektomi/Pneumonectomi,J-1-10-I,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.153.800,8 .505.300,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.153.800,8 .505.300,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.153.800,8 .505.300,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,J-1-10-II,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.153.800,8 .505.300,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.153.800,8 .505.300,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.153.800,8 .505.300,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,J-1-10-III,1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.153.800,8 .505.300,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.153.800,8 .505.300,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,3,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 2.153.800,8 .505.300,-,-
42,90.0,157.0,498.6,735.9,-41- -42- TARIF INA-CBG REGIONAL 1 TOP UP SPESIAL CMG,,,,,,,,,1,8.970.200,8 .073.200,7 .176.100,-
